n_models,n_tasks,elapsed_lomo,elapsed_lasomo,plan
2,1,0.074,0.208,sequential
3,1,0.182,0.24,sequential
4,1,0.079,0.271,sequential
5,1,0.115,0.53,sequential
6,1,0.09,0.679,sequential
7,1,0.092,1.033,sequential
8,1,0.12,1.998,sequential
2,2,0.19,0.402,sequential
3,2,0.206,0.439,sequential
4,2,0.238,0.563,sequential
5,2,0.278,0.683,sequential
6,2,0.176,1.14,sequential
7,2,0.21,1.804,sequential
8,2,0.263,3.742,sequential
2,3,0.284,0.611,sequential
3,3,0.214,0.751,sequential
4,3,0.242,0.871,sequential
5,3,0.277,1.089,sequential
6,3,0.239,1.67,sequential
7,3,0.35,2.78,sequential
8,3,0.387,5.792,sequential
2,4,0.37,0.8,sequential
3,4,0.285,0.998,sequential
4,4,0.286,1.223,sequential
5,4,0.422,1.364,sequential
6,4,0.444,2.099,sequential
7,4,0.497,4.139,sequential
8,4,0.464,7.937,sequential
2,5,0.304,1.146,sequential
3,5,0.471,1.247,sequential
4,5,0.485,1.518,sequential
5,5,0.4,1.895,sequential
6,5,0.526,2.84,sequential
7,5,0.533,4.763,sequential
8,5,0.587,10.313,sequential
2,6,0.38,1.332,sequential
3,6,0.434,1.429,sequential
4,6,0.525,1.65,sequential
5,6,0.565,2.133,sequential
6,6,0.593,3.256,sequential
7,6,0.638,5.823,sequential
8,6,0.638,11.865,sequential
2,7,0.562,1.397,sequential
3,7,0.585,1.558,sequential
4,7,0.623,1.915,sequential
5,7,0.641,2.491,sequential
6,7,0.716,3.825,sequential
7,7,0.728,6.841,sequential
8,7,0.761,14.286,sequential
2,8,0.608,1.863,sequential
3,8,0.548,1.926,sequential
4,8,0.696,2.103,sequential
5,8,0.735,3.119,sequential
6,8,0.724,4.37,sequential
7,8,0.867,8.107,sequential
8,8,0.991,16.46,sequential
2,9,0.756,2.001,sequential
3,9,0.618,2.171,sequential
4,9,0.789,2.378,sequential
5,9,0.782,3.25,sequential
6,9,0.896,5.163,sequential
7,9,0.927,8.762,sequential
8,9,1.19,18.77,sequential
2,10,0.788,2.076,sequential
3,10,0.766,2.25,sequential
4,10,0.785,2.701,sequential
5,10,0.89,3.671,sequential
6,10,0.983,5.432,sequential
7,10,1.033,9.878,sequential
8,10,1.095,21.165,sequential
2,1,0.646,0.236,multisession
3,1,0.161,0.27,multisession
4,1,0.112,0.289,multisession
5,1,0.115,0.382,multisession
6,1,0.161,0.564,multisession
7,1,0.146,1.029,multisession
8,1,0.126,1.992,multisession
2,2,0.547,0.245,multisession
3,2,0.11,0.248,multisession
4,2,0.094,0.346,multisession
5,2,0.123,0.418,multisession
6,2,0.104,0.595,multisession
7,2,0.125,1.118,multisession
8,2,0.157,2.106,multisession
2,3,0.616,0.245,multisession
3,3,0.137,0.27,multisession
4,3,0.13,0.362,multisession
5,3,0.117,0.416,multisession
6,3,0.119,0.638,multisession
7,3,0.122,1.169,multisession
